
2025/08/03 (00:20:57) | ===> btop++ v.1.2.3
2025/08/03 (00:20:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:08:52) | ===> btop++ v.1.2.3
2025/08/07 (12:08:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:10:27) | ===> btop++ v.1.2.3
2025/08/07 (12:10:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:10:36) | ===> btop++ v.1.2.3
2025/08/07 (12:10:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:13:35) | ===> btop++ v.1.2.3
2025/08/07 (12:13:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:13:45) | ===> btop++ v.1.2.3
2025/08/07 (12:13:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:14:14) | ===> btop++ v.1.2.3
2025/08/07 (12:14:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:18:27) | ===> btop++ v.1.2.3
2025/08/07 (12:18:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:18:44) | ===> btop++ v.1.2.3
2025/08/07 (12:18:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:18:49) | ===> btop++ v.1.2.3
2025/08/07 (12:18:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:19:05) | ===> btop++ v.1.2.3
2025/08/07 (12:19:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:24:52) | ===> btop++ v.1.2.3
2025/08/07 (12:24:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:26:01) | ===> btop++ v.1.2.3
2025/08/07 (12:26:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:26:20) | ===> btop++ v.1.2.3
2025/08/07 (12:26:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:32:23) | ===> btop++ v.1.2.3
2025/08/07 (12:32:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:49:46) | ===> btop++ v.1.2.3
2025/08/07 (12:49:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:52:31) | ===> btop++ v.1.2.3
2025/08/07 (12:52:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:54:50) | ===> btop++ v.1.2.3
2025/08/07 (12:54:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:54:56) | ===> btop++ v.1.2.3
2025/08/07 (12:54:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:55:02) | ===> btop++ v.1.2.3
2025/08/07 (12:55:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:55:05) | ===> btop++ v.1.2.3
2025/08/07 (12:55:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:55:43) | ===> btop++ v.1.2.3
2025/08/07 (12:55:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/07 (12:57:48) | ===> btop++ v.1.2.3
2025/08/07 (12:57:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
